page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
  38   319 image     231   140  icc     3   8  jpx    no       771  0   201   200 6888B 7.1%
  38   320 image     218   145  icc     3   8  jpx    no       773  0   200   201 7026B 7.4%
  38   321 image     215   148  icc     3   8  jpx    no       775  0   201   200 7154B 7.5%
  38   322 image     232   107  icc     3   8  jpx    no       757  0   200   200 6675B 9.0%
  39   323 image     148   234  icc     3   8  jpx    no       780  0   201   201 7185B 6.9%
  39   324 image     162   202  icc     3   8  jpx    no       784  0   201   200 7200B 7.3%
  39   325 smask     162   202  gray    1   8  jpx    no       784  0   201   200 4072B  12%
  39   326 image     198   251  icc     3   8  jpx    no       786  0   200   200 7304B 4.9%
  39   327 image     210   161  icc     3   8  jpx    no       788  0   201   200 7132B 7.0%
  39   328 image     200   151  icc     3   8  jpx    no       790  0   201   200 6909B 7.6%
  39   329 image     204   156  icc     3   8  jpx    no       794  0   200   200 7668B 8.0%
  39   330 smask     204   156  gray    1   8  jpx    no       794  0   200   200 4254B  13%
  39   331 image     220   179  icc     3   8  jpx    no       796  0   200   200 7139B 6.0%
  39   332 image     190   187  icc     3   8  jpx    no       798  0   200   201 7722B 7.2%
  40   333 image     213   175  icc     3   8  jpx    no       803  0   200   201 7712B 6.9%
  40   334 image     226   115  icc     3   8  jpx    no       805  0   201   201 7180B 9.2%
  40   335 image     217   117  icc     3   8  jpx    no       811  0   201   201 6799B 8.9%
  40   336 image     206   187  icc     3   8  jpx    no       815  0   200   200 7217B 6.2%
  40   337 smask     206   187  gray    1   8  jpx    no       815  0   200   200 4408B  11%
  40   338 image     227   105  icc     3   8  jpx    no       817  0   201   201 6629B 9.3%
  40   339 image     234   106  icc     3   8  jpx    no       819  0   201   200 6694B 9.0%
  40   340 image     217   103  icc     3   8  jpx    no       821  0   201   200 6888B  10%
